,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
11,Chicago Bulls,1610612741,12,5,7,0.417,591.0,99.4,106.8,-7.4,90.1,15.7,0.284,0.745,0.507,0.154,5,7,13,9,5,11,11,13,7,2,9,4,10,12,2012-13
12,Indiana Pacers,1610612754,19,11,8,0.579,917.0,101.3,101.6,-0.3,89.9,14.4,0.324,0.768,0.555,0.181,3,3,16,3,3,10,8,8,14,1,4,1,15,13,2012-13
13,Miami Heat,1610612748,23,16,7,0.696,1114.0,107.7,99.8,7.9,89.8,16.9,0.252,0.711,0.486,0.145,1,1,13,2,1,1,4,1,2,7,14,11,8,14,2012-13
14,New York Knicks,1610612752,12,6,6,0.5,581.0,98.6,95.6,3.0,89.1,13.0,0.242,0.765,0.484,0.129,5,5,9,5,7,12,1,3,16,10,5,12,3,15,2012-13
15,Boston Celtics,1610612738,6,2,4,0.333,293.0,90.8,96.9,-6.0,89.0,14.8,0.14,0.763,0.48,0.191,10,10,1,10,10,15,2,12,12,16,6,13,16,16,2012-13
0,Golden State Warriors,1610612744,7,3,4,0.429,336.0,106.9,111.7,-4.8,99.4,17.6,0.308,0.721,0.51,0.174,9,9,1,8,10,6,15,13,2,2,13,7,16,1,2013-14
1,Los Angeles Clippers,1610612746,13,6,7,0.462,624.0,109.7,108.6,1.1,98.7,17.8,0.262,0.704,0.475,0.127,5,5,11,6,5,4,9,4,1,9,15,13,3,2,2013-14
2,Portland Trail Blazers,1610612757,11,5,6,0.455,543.0,103.6,110.9,-7.3,97.4,13.4,0.261,0.706,0.486,0.137,7,7,10,7,7,10,14,15,15,10,14,12,6,3,2013-14
3,Houston Rockets,1610612745,6,2,4,0.333,303.0,109.8,111.8,-1.9,95.9,13.3,0.353,0.728,0.535,0.136,14,14,1,14,14,3,16,8,16,1,11,2,5,4,2013-14
4,Oklahoma City Thunder,1610612760,19,10,9,0.526,937.0,105.6,105.5,0.2,95.0,15.0,0.271,0.742,0.519,0.156,3,3,15,4,3,8,6,5,12,5,10,5,13,5,2013-14
5,San Antonio Spurs,1610612759,23,16,7,0.696,1109.0,112.7,101.1,11.6,94.8,17.5,0.236,0.772,0.511,0.133,1,1,11,1,1,1,2,1,3,12,3,6,4,6,2013-14
6,Dallas Mavericks,1610612742,7,3,4,0.429,336.0,106.8,110.2,-3.4,94.2,15.1,0.264,0.766,0.495,0.121,9,9,1,8,10,7,13,10,11,8,7,10,2,7,2013-14
7,Atlanta Hawks,1610612737,7,3,4,0.429,336.0,98.2,101.6,-3.3,93.0,14.1,0.204,0.762,0.466,0.144,9,9,1,8,10,16,3,9,14,15,8,16,10,8,2013-14
8,Charlotte Bobcats,1610612766,4,0,4,0.0,192.0,99.6,109.8,-10.1,92.5,16.2,0.208,0.857,0.52,0.162,16,16,1,16,16,13,12,16,6,14,1,4,14,9,2013-14
9,Memphis Grizzlies,1610612763,7,3,4,0.429,356.0,98.9,105.7,-6.8,91.8,16.3,0.27,0.69,0.47,0.114,9,9,1,8,9,15,7,14,5,6,16,15,1,10,2013-14
10,Toronto Raptors,1610612761,7,3,4,0.429,336.0,104.5,108.3,-3.8,91.1,14.6,0.268,0.77,0.529,0.166,9,9,1,8,10,9,8,11,13,7,5,3,15,11,2013-14
11,Indiana Pacers,1610612754,19,10,9,0.526,912.0,101.6,102.1,-0.5,90.4,15.8,0.211,0.77,0.497,0.151,3,3,15,4,4,11,4,6,9,13,4,9,12,12,2013-14
12,Washington Wizards,1610612764,11,6,5,0.545,533.0,99.5,98.2,1.3,90.1,15.9,0.279,0.797,0.537,0.141,7,5,9,3,8,14,1,3,8,3,2,1,9,13,2013-14
13,Brooklyn Nets,1610612751,12,5,7,0.417,576.0,108.2,109.1,-0.9,88.5,15.5,0.251,0.77,0.497,0.139,6,7,11,13,6,5,11,7,10,11,6,8,8,14,2013-14
14,Chicago Bulls,1610612741,5,1,4,0.2,245.0,100.4,104.8,-4.4,88.1,16.4,0.279,0.722,0.493,0.147,15,15,1,15,15,12,5,12,4,4,12,11,11,15,2013-14
15,Miami Heat,1610612748,20,13,7,0.65,960.0,110.5,108.7,1.8,88.0,16.1,0.171,0.753,0.472,0.138,2,2,11,2,2,2,10,2,7,16,9,14,7,16,2013-14
0,Dallas Mavericks,1610612742,5,1,4,0.2,240.0,106.1,108.6,-2.5,104.4,15.2,0.281,0.751,0.507,0.137,12,12,1,12,12,3,13,9,13,1,8,6,9,1,2014-15
1,Houston Rockets,1610612745,17,9,8,0.529,816.0,103.9,106.9,-2.9,103.8,15.8,0.238,0.744,0.494,0.149,3,3,15,5,3,7,12,10,10,9,11,9,15,2,2014-15
2,Los Angeles Clippers,1610612746,14,7,7,0.5,677.0,105.9,105.3,0.6,100.7,16.7,0.213,0.75,0.486,0.129,5,5,14,6,5,4,10,6,8,14,9,11,5,3,2014-15
3,Washington Wizards,1610612764,10,6,4,0.6,485.0,103.3,98.4,5.0,97.3,17.3,0.268,0.772,0.528,0.148,8,6,1,3,8,8,3,2,5,3,5,2,14,4,2014-15
