,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
20,Philadelphia 76ers,1610612755,82,34,48,0.415,3951.0,99.5,103.0,-3.4,93.3,17.7,0.249,0.734,0.484,0.139,1,19,19,19,24,26,15,22,9,24,18,25,2,21,2012-13
21,Detroit Pistons,1610612765,82,29,53,0.354,3961.0,100.9,105.6,-4.8,93.2,16.6,0.283,0.73,0.502,0.161,1,23,23,23,16,22,23,24,23,9,23,13,28,22,2012-13
22,Miami Heat,1610612748,82,66,16,0.805,3976.0,110.3,100.5,9.9,93.0,18.4,0.222,0.73,0.49,0.15,1,1,1,1,4,1,7,2,4,26,24,22,8,23,2012-13
23,Toronto Raptors,1610612761,82,34,48,0.415,3996.0,102.9,104.7,-1.7,92.9,16.9,0.255,0.734,0.491,0.145,1,19,19,19,1,14,22,19,18,20,16,20,5,24,2012-13
24,Indiana Pacers,1610612754,81,49,32,0.605,3918.0,101.6,96.6,5.0,92.8,16.0,0.303,0.746,0.529,0.162,29,8,8,8,30,19,1,7,27,4,6,1,29,25,2012-13
25,New York Knicks,1610612752,82,54,28,0.659,3946.0,108.6,103.5,5.1,92.0,15.6,0.256,0.747,0.493,0.131,1,7,7,7,26,3,17,6,29,19,4,18,1,26,2012-13
26,Chicago Bulls,1610612741,82,45,37,0.549,3966.0,100.4,100.3,0.1,92.0,17.8,0.294,0.736,0.512,0.154,1,11,11,11,12,24,5,15,7,5,14,9,14,26,2012-13
27,Brooklyn Nets,1610612751,82,49,33,0.598,3971.0,105.0,103.6,1.4,91.2,16.1,0.309,0.737,0.522,0.159,1,8,9,9,7,9,18,12,25,3,12,3,26,28,2012-13
28,Memphis Grizzlies,1610612763,82,56,26,0.683,3961.0,101.7,97.4,4.2,91.1,16.5,0.31,0.743,0.522,0.152,1,5,5,5,16,18,2,8,24,2,9,2,11,29,2012-13
29,New Orleans Hornets,1610612740,82,27,55,0.329,3956.0,102.7,107.6,-5.0,90.9,16.7,0.292,0.744,0.514,0.159,1,26,26,26,21,17,28,25,21,6,8,7,24,30,2012-13
0,Philadelphia 76ers,1610612755,82,19,63,0.232,3971.0,96.8,107.5,-10.7,101.6,16.0,0.248,0.724,0.477,0.164,1,29,29,29,14,30,27,30,26,22,27,28,30,1,2013-14
1,Los Angeles Lakers,1610612747,82,27,55,0.329,3941.0,101.9,107.9,-6.0,101.0,18.1,0.202,0.71,0.456,0.15,1,25,25,25,30,21,28,27,4,30,30,30,13,2,2013-14
2,Denver Nuggets,1610612743,82,36,46,0.439,3951.0,103.3,105.4,-2.1,100.7,16.4,0.275,0.745,0.509,0.157,1,20,20,20,28,17,21,20,18,5,15,12,23,3,2013-14
3,Minnesota Timberwolves,1610612750,82,40,42,0.488,3971.0,105.6,104.1,1.4,99.8,17.3,0.274,0.744,0.503,0.138,1,17,17,17,10,10,15,13,10,8,16,14,2,4,2013-14
4,Houston Rockets,1610612745,82,54,28,0.659,3966.0,108.6,103.1,5.5,98.8,16.1,0.274,0.741,0.521,0.163,1,5,5,5,15,4,12,5,23,7,20,2,29,5,2013-14
5,Golden State Warriors,1610612744,82,51,31,0.622,3966.0,105.3,99.9,5.4,98.5,17.4,0.251,0.763,0.511,0.154,1,8,8,8,15,12,3,6,9,18,5,9,16,6,2013-14
6,Los Angeles Clippers,1610612746,82,57,25,0.695,3951.0,109.4,102.1,7.3,98.4,18.3,0.25,0.725,0.496,0.14,1,3,3,3,25,1,7,2,3,20,26,20,5,7,2013-14
7,Phoenix Suns,1610612756,82,48,34,0.585,3951.0,107.1,103.8,3.3,98.2,14.7,0.264,0.737,0.501,0.156,1,11,11,11,25,8,13,10,29,15,22,16,21,8,2013-14
8,Oklahoma City Thunder,1610612760,82,59,23,0.72,3961.0,108.1,101.0,7.1,97.9,16.6,0.265,0.756,0.522,0.156,1,2,2,2,20,7,5,3,15,14,9,1,20,9,2013-14
9,Portland Trail Blazers,1610612757,82,54,28,0.659,3971.0,108.3,104.7,3.5,97.5,17.2,0.28,0.747,0.516,0.139,1,5,5,5,10,5,16,8,11,3,13,7,4,10,2013-14
10,Detroit Pistons,1610612765,82,29,53,0.354,3956.0,102.9,107.3,-4.4,97.4,15.6,0.314,0.734,0.514,0.148,1,23,23,23,22,19,26,24,28,1,23,8,12,11,2013-14
11,San Antonio Spurs,1610612759,82,62,20,0.756,3951.0,108.2,100.1,8.1,97.1,19.0,0.227,0.764,0.506,0.148,1,1,1,1,25,6,4,1,1,24,4,13,11,12,2013-14
12,Atlanta Hawks,1610612737,82,38,44,0.463,3966.0,103.4,104.1,-0.7,96.9,18.8,0.21,0.744,0.479,0.156,1,18,18,18,15,15,14,18,2,28,17,26,22,13,2013-14
13,Sacramento Kings,1610612758,82,28,54,0.341,3966.0,102.9,106.3,-3.4,96.7,14.6,0.278,0.766,0.519,0.156,1,24,24,24,15,20,23,22,30,4,3,5,19,14,2013-14
14,Orlando Magic,1610612753,82,23,59,0.28,3991.0,99.3,104.8,-5.5,95.9,16.4,0.224,0.755,0.489,0.153,1,28,28,28,2,29,18,25,20,25,10,23,15,15,2013-14
15,Boston Celtics,1610612738,82,25,57,0.305,3946.0,99.7,105.2,-5.5,95.9,16.2,0.274,0.742,0.501,0.159,1,26,26,26,29,27,20,25,22,6,19,15,28,15,2013-14
16,Dallas Mavericks,1610612742,82,49,33,0.598,3966.0,109.0,105.9,3.0,95.7,18.0,0.246,0.727,0.488,0.141,1,10,10,10,15,3,22,11,6,23,25,24,6,17,2013-14
17,Cleveland Cavaliers,1610612739,82,33,49,0.402,3986.0,101.3,104.8,-3.5,95.7,16.2,0.272,0.758,0.509,0.146,1,22,22,22,4,23,17,23,21,10,6,11,8,17,2013-14
18,Washington Wizards,1610612764,82,44,38,0.537,4011.0,103.3,102.4,0.9,95.5,17.6,0.252,0.757,0.5,0.151,1,14,14,14,1,18,10,15,7,17,8,18,14,19,2013-14
19,Indiana Pacers,1610612754,82,56,26,0.683,3956.0,101.5,96.7,4.8,94.9,15.9,0.249,0.768,0.521,0.158,1,4,4,4,22,22,1,7,27,21,2,3,25,20,2013-14
20,Charlotte Bobcats,1610612766,82,43,39,0.524,3981.0,101.2,101.2,0.1,94.7,16.9,0.219,0.776,0.496,0.129,1,16,16,16,6,24,6,16,13,26,1,19,1,21,2013-14
21,New Orleans Pelicans,1610612740,82,34,48,0.415,3971.0,104.7,107.3,-2.6,94.5,16.5,0.269,0.738,0.5,0.145,1,21,21,21,10,13,25,21,17,13,21,17,7,22,2013-14
22,Toronto Raptors,1610612761,82,48,34,0.585,3991.0,105.8,102.4,3.5,94.4,16.4,0.272,0.749,0.509,0.148,1,11,11,11,2,9,9,8,19,11,12,10,10,23,2013-14
23,Milwaukee Bucks,1610612749,82,15,67,0.183,3976.0,100.2,108.9,-8.7,94.3,16.5,0.271,0.714,0.486,0.158,1,30,30,30,7,26,29,29,16,12,29,25,26,24,2013-14
24,Brooklyn Nets,1610612751,82,44,38,0.537,3976.0,104.4,104.9,-0.6,93.7,16.7,0.217,0.723,0.471,0.154,1,14,14,14,7,14,19,17,14,27,28,29,17,25,2013-14
25,Utah Jazz,1610612762,82,25,57,0.305,3956.0,100.6,109.1,-8.4,93.6,16.1,0.255,0.745,0.492,0.155,1,26,26,26,22,25,30,28,24,16,14,21,18,26,2013-14
26,Miami Heat,1610612748,82,54,28,0.659,3976.0,109.0,102.9,6.1,93.3,18.1,0.206,0.73,0.478,0.158,1,5,5,5,7,2,11,4,5,29,24,27,24,27,2013-14
27,Chicago Bulls,1610612741,82,48,34,0.585,3986.0,99.7,97.8,1.9,92.7,17.6,0.272,0.754,0.517,0.159,1,11,11,11,4,28,2,12,8,9,11,6,27,28,2013-14
28,New York Knicks,1610612752,82,37,45,0.451,3971.0,105.4,106.5,-1.0,92.6,16.0,0.251,0.743,0.49,0.139,1,19,19,19,10,11,24,19,25,19,18,22,3,29,2013-14
29,Memphis Grizzlies,1610612763,82,50,32,0.61,3961.0,103.3,102.1,1.2,92.2,17.1,0.283,0.757,0.52,0.147,1,9,9,9,20,16,8,14,12,2,7,4,9,30,2013-14
0,Golden State Warriors,1610612744,82,67,15,0.817,3946.0,109.7,98.2,11.4,100.7,19.7,0.241,0.745,0.501,0.144,1,1,1,1,26,2,1,1,1,21,18,12,14,1,2014-15
1,Houston Rockets,1610612745,82,56,26,0.683,3961.0,104.2,100.5,3.7,99.3,16.5,0.268,0.729,0.499,0.167,1,3,3,3,20,12,6,6,16,7,28,15,28,2,2014-15
2,Denver Nuggets,1610612743,82,30,52,0.366,3976.0,101.6,105.5,-3.9,98.7,16.2,0.266,0.747,0.498,0.142,1,24,24,24,8,21,26,24,20,9,17,18,11,3,2014-15
3,Phoenix Suns,1610612756,82,39,43,0.476,3976.0,102.9,103.4,-0.5,98.7,15.4,0.245,0.735,0.488,0.152,1,17,17,17,8,14,17,19,29,19,21,25,20,3,2014-15
4,Boston Celtics,1610612738,82,40,42,0.488,3976.0,101.7,102.1,-0.4,98.4,18.0,0.247,0.75,0.495,0.139,1,16,16,16,8,20,14,18,6,16,14,20,6,5,2014-15
5,Oklahoma City Thunder,1610612760,82,45,37,0.549,3966.0,104.5,103.1,1.3,98.3,15.3,0.289,0.756,0.526,0.148,1,13,13,13,18,11,16,13,30,2,10,2,18,6,2014-15
6,Philadelphia 76ers,1610612755,82,18,64,0.22,3961.0,93.0,102.1,-9.1,98.3,15.5,0.255,0.73,0.481,0.179,1,28,28,28,20,30,13,28,27,12,27,29,30,6,2014-15
7,Sacramento Kings,1610612758,82,29,53,0.354,3971.0,102.5,106.5,-4.0,97.9,15.5,0.265,0.752,0.518,0.164,1,25,25,25,13,16,27,25,28,10,12,3,26,8,2014-15
8,Dallas Mavericks,1610612742,82,50,32,0.61,3976.0,107.2,103.7,3.5,97.4,17.0,0.236,0.722,0.478,0.132,1,9,9,9,8,5,18,8,10,24,29,30,3,9,2014-15
